,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9
112,16.38605946,3.66E+23,38.50677467,-109.7304674,87.19566946,-74.84044089,-5.94E+48,-15.81345984,-72.90162824,-24.54670826
113,-13.41509476,2.47E+26,48.84414528,85.60121716,-8.175683081,-203.282486,-1.14E+52,-13.50881854,-60.19801889,-11.7298454
114,224.2816123,1.05E+24,1.027733716,-114.6935408,-28.93087488,141.9047326,4.31E+52,-24.09579634,-17.09456439,-43.30380366
115,-77.37586437,6.19E+25,35.5356402,291.6923366,-51.14257227,71.37673751,-1.82E+50,13.56897889,-3.800712539,-98.89626192
116,121.5131862,6.06E+25,-7.127110676,54.61630861,-27.72854116,25.29786453,-3.77E+47,15.10277709,-41.32360599,-103.1968752
117,-235.1782389,-5.11E+25,-3.203772981,303.8796347,-81.73443547,-124.3669478,2.56E+51,23.40093157,-19.62476853,54.969317
118,81.96501969,2.42E+25,60.63648538,231.9790651,57.91354836,20.13188208,-5.32E+47,41.55320542,1.960194403,89.02734289
119,50.85148828,2.19E+25,22.79946959,120.3227587,18.62582329,94.53859068,4.37E+48,-3.321355081,1.477619277,-74.14132698
120,21.14931127,3.62E+25,-83.80728959,-203.8411147,20.10077474,54.59923892,-4.81E+48,-10.7963043,7.069647256,-82.64744233
121,52.74501961,3.66E+24,22.083668,107.6855347,-101.1580351,30.9524822,-4.10E+50,65.70356044,-10.54395873,-12.93633066
122,250.4405104,-6.20E+25,130.6069712,-47.59237712,-0.629514786,-0.799098597,1.61E+45,-16.17623446,15.4676913,-80.2973863
123,20.85308961,-2.71E+24,-3.5713828,-100.0813178,81.26893686,-144.6574759,-4.06E+46,3.936909265,-0.939197495,126.2089316
124,-57.70032511,-6.96E+24,-14.82875808,-62.8227813,-22.99545426,-6.704233095,-4.54E+43,-40.29607551,42.88220447,83.96046155
125,-221.9556738,-1.10E+24,49.73283598,239.5092427,-185.3034359,-2.274255812,1.16E+49,-21.35534699,12.97717643,83.92731585
126,85.48923617,-2.17E+28,66.06307507,220.1051672,124.0652511,-50.88975642,2.20E+48,22.37697728,8.769878143,-47.06451016
127,-109.1647964,-7.83E+28,-7.535983754,223.9272371,-15.98791076,113.1783828,1.23E+48,11.70030725,0.948827475,-50.09828579
128,-223.1650357,-5.45E+26,-110.6470636,19.5768047,-9.123205922,-29.1344368,-6.31E+49,8.794927225,47.4725511,-19.38959452
129,17.04418854,-5.84E+27,-70.50218208,-243.0377381,16.96025163,148.9475158,6.14E+46,26.85358719,10.09852252,40.55883889
130,82.63094721,4.07E+25,43.55297176,-95.07605659,141.8483156,13.92622768,-7.66E+47,-38.02099082,-8.686062577,46.6347122
131,141.6955111,-1.47E+25,-72.81076563,251.7106844,-47.96592522,-21.16483715,1.20E+50,-38.71171552,-61.87126634,59.34397333
